,,,,
Dani California,Red Hot Chili Peppers,Rock,2006,4:42
Seven Nation Army,The White Stripes,Rock,2003,3:51
Last Nite,The Strokes,Rock,2001,3:13
Kryptonite,3 Doors Down,Rock,2000,3:53
Boulevard of Broken Dreams,Green Day,Rock,2004,4:20
BYOB,System of a Down,Rock,2005,4:15
MYSTERY,Turnstile,Rock,2021,2:35
If You Wanna,The Vaccines,Rock,2011,3:00
Gotta Get Away,The Black Keys,Rock,2014,3:02
Radioactive,Imagine Dragons,Rock,2012,3:06
R U Mine?,Arctic Monkeys,Rock,2013,3:21
Death By Rock And Roll,The Pretty Reckless,Rock,2020,3:54
Cigarette Daydreams,Cage the Elephant,Rock,2013,3:28
Mary On A Cross,Ghost,Rock,2019,4:04
Rope,Foo Fighters,Rock,2011,4:19
Lonely Boy,The Black Keys,Rock,2011,3:13
Do I Wanna Know?,Arctic Monkeys,Rock,2013,4:32
Demons,Imagine Dragons,Rock,2012,2:57
Mind Your Manners,Pearl Jam,Rock,2013,2:38
Beggin',Maneskin,Rock,2017,3:31
...Baby One More Time,Britney Spears,Pop,1998,2:52
Wannabe,Spice Girls,Pop,1996,2:52
Tearin' Up My Heart,*NSYNC,Pop,1997,3:29
I Want It That Way,Backstreet Boys,Pop,1999,3:33
Lovefool,The Cardigans,Pop,1996,2:58
No Scrubs,TLC,Pop,1999,3:34
Criminal,Fiona Apple,Pop,1996,5:41
Vogue,Madonna,Pop,1990,4:50
4 Minutes,Madonna ft. Justin Timberlake,Pop,2008,4:04
Black or White,Michael Jackson,Pop,1991,4:15
Genie in a Bottle,Christina Aguilera,Pop,1999,3:36
Say My Name,Destiny's Child,Pop,1999,4:31
Truly Madly Deeply,Savage Garden,Pop,1997,4:37
Un-Break My Heart,Toni Braxton,Pop,1996,4:30
S.O.S.,Rihanna,Pop,2006,2:59
I Will Always Love You,Whitney Houston,Pop,1992,4:31
I Kissed a Girl,Katy Perry,Pop,2008,2:59
Promiscuous,Nelly Furtado,Pop,2006,2:55
Poker Face,Lady Gaga,Pop,2008,3:57
Single Ladies,Beyoncé,Pop,2008,3:13
Since U Been Gone,Kelly Clarkson,Pop,2004,3:08
Can't Get You Out of My Head,Kylie Minogue,Pop,2001,4:11
Cry Me a River,Justin Timberlake,Pop,2002,4:48
Hung Up,Madonna,Pop,2005,4:23
Bad Romance,Lady Gaga,Pop,2009,4:54
Umbrella,Rihanna,Pop,2007,4:35
Bleeding Love,Leona Lewis,Pop,2007,4:22
Firework,Katy Perry,Pop,2010,3:47
As It Was,Harry Styles,Pop,2022,2:47
Espresso,Sabrina Carpenter,Pop,2024,2:55
good 4 u,Olivia Rodrigo,Pop,2021,2:58
bad guy,Billie Eilish,Pop,2019,3:14
no tears left to cry,Ariana Grande,Pop,2018,3:25
Shake It Off,Taylor Swift,Pop,2014,3:39
Roar,Katy Perry,Pop,2013,3:42
Elastic Heart,Sia,Pop,2013,4:17
Hello,Adele,Pop,2015,4:55
Blinding Lights,The Weeknd,Pop,2019,3:20
Flowers,Miley Cyrus,Pop,2023,3:20
Cruel Summer,Taylor Swift,Pop,2019,2:58
Dance The Night,Dua Lipa,Pop,2023,2:56
Water,Tyla,Pop,2023,3:20
Hypnotize,The Notorious B.I.G.,Hip-Hop/Rap,1997,2:32
C.R.E.A.M.,Wu-Tang Clan,Hip-Hop/Rap,1993,2:40
Slam,Onyx,Hip-Hop/Rap,1993,2:58
Scenario,A Tribe Called Quest,Hip-Hop/Rap,1991,3:37
California Love,2Pac,Hip-Hop/Rap,1995,3:59
Nuthin' But a 'G' Thang,Dr. Dre,Hip-Hop/Rap,1992,3:58
Juicy,The Notorious B.I.G.,Hip-Hop/Rap,1994,4:46
Shook Ones Pt. II,Mobb Deep,Hip-Hop/Rap,1995,4:25
NY State of Mind,Nas,Hip-Hop/Rap,1994,4:54
Dear Mama,2Pac,Hip-Hop/Rap,1995,4:39
Regulate,Warren G,Hip-Hop/Rap,1994,4:08
In Da Club,50 Cent,Hip-Hop/Rap,2003,2:52
Ms. Jackson,Outkast,Hip-Hop/Rap,2000,2:58
Touch The Sky,Kanye West,Hip-Hop/Rap,2005,2:47
Lose Yourself,Eminem,Hip-Hop/Rap,2002,3:12
Without Me,Eminem,Hip-Hop/Rap,2002,3:36
Drop It Like It's Hot,Snoop Dogg,Hip-Hop/Rap,2004,3:42
Gold Digger,Kanye West,Hip-Hop/Rap,2005,3:27
Riding Dirty,Chamillionaire,Hip-Hop/Rap,2005,4:09
Empire State of Mind,Jay-Z,Hip-Hop/Rap,2009,4:36
Jesus Walks,Kanye West,Hip-Hop/Rap,2004,4:13
Stan,Eminem,Hip-Hop/Rap,2000,6:44
Stronger,Kanye West,Hip-Hop/Rap,2007,5:11
XO Tour Llif3,Lil Uzi Vert,Hip-Hop/Rap,2017,2:55
Old Town Road,Lil Nas X,Hip-Hop/Rap,2019,2:37
God's Plan,Drake,Hip-Hop/Rap,2018,2:56
SICKO MODE,Travis Scott,Hip-Hop/Rap,2018,3:52
Lucid Dreams,Juice WRLD,Hip-Hop/Rap,2018,3:59
Hotline Bling,Drake,Hip-Hop/Rap,2015,3:39
Industry Baby,Lil Nas X,Hip-Hop/Rap,2021,3:32
MONTERO,Lil Nas X,Hip-Hop/Rap,2021,4:10
First Class,Jack Harlow,Hip-Hop/Rap,2022,4:06
Alright,Kendrick Lamar,Hip-Hop/Rap,2015,4:18
Not Like Us,Kendrick Lamar,Hip-Hop/Rap,2024,4:34
Rich Flex,Drake & 21 Savage,Hip-Hop/Rap,2022,3:59
Show Me Love,Robin S.,Dance,1993,2:58
Gypsy Woman (She's Homeless),Crystal Waters,Dance,1991,3:48
Music Sounds Better With You,Stardust,Dance,1998,2:52
Around the World,Daft Punk,Dance,1997,3:58
Flat Beat,Mr. Oizo,Dance,1999,2:50
Ray of Light,Madonna,Dance,1998,4:35
Insomnia,Faithless,Dance,1995,4:36
The Rhythm of the Night,Corona,Dance,1993,4:24
What Is Love,Haddaway,Dance,1993,4:29
Call on Me,Eric Prydz,Dance,2004,3:25
Satisfaction,Benny Benassi,Dance,2002,2:24
World Hold On,Bob Sinclar,Dance,2006,4:38
One More Time,Daft Punk,Dance,2000,3:55
Love Generation,Bob Sinclar,Dance,2005,3:26
Starlight,The Supermen Lovers,Dance,2001,4:10
Days Go By,Dirty Vegas,Dance,2001,3:38
Lola's Theme,Shapeshifters,Dance,2004,3:25
Piece of Your Heart,MEDUZA,Dance,2019,2:33
House Work,Jax Jones,Dance,2016,2:37
Don't Start Now,Dua Lipa,Dance,2019,3:03
Cola,CamelPhat & Elderbrook,Dance,2017,3:43
Deep Down,Alok,Dance,2022,2:45
Looking at Your Pager,KH,Dance,2022,2:56
10:35,Tiesto,Dance,2022,2:52
Animals,Martin Garrix,Dance,2013,2:56
Wake Me Up,Avicii,Dance,2013,4:07
Titanium,David Guetta,Dance,2011,4:05
Get Lucky,Daft Punk,Dance,2013,4:08
One Kiss,Calvin Harris & Dua Lipa,Dance,2018,3:34
Where Are U Now,Jack U,Dance,2015,4:10
Roses,SAINt JHN,Dance,2019,2:56
Better Off Alone,Alice Deejay,Dance,1999,3:35
Sandstorm,Darude,Dance,1999,3:45
Be My Lover,La Bouche,Dance,1995,4:00
1999,Charli XCX & Troye Sivan,Pop,2018,3:09
Sucker,Jonas Brothers,Pop,2019,3:01
Levitating,Dua Lipa ft. DaBaby,Pop,2020,3:23
STAY,The Kid LAROI & Justin Bieber,Pop,2021,2:21
Peaches,Justin Bieber,Pop,2021,3:18
Drivers License,Olivia Rodrigo,Pop,2021,4:02
Deja Vu,Olivia Rodrigo,Pop,2021,3:35
Heat Waves,Glass Animals,Pop,2020,3:58
Cold Heart,Elton John & Dua Lipa,Pop,2021,3:22
About Damn Time,Lizzo,Pop,2022,3:11
Unholy,Sam Smith & Kim Petras,Pop,2022,2:36
Vampire,Olivia Rodrigo,Pop,2023,3:39
I'm Good (Blue),David Guetta & Bebe Rexha,Dance,2022,2:55
Miracle,Calvin Harris & Ellie Goulding,Dance,2023,3:06
Padam Padam,Kylie Minogue,Dance,2023,2:46
Baby Don't Hurt Me,David Guetta,Dance,2023,2:20
Prada,casso & RAYE,Dance,2023,2:12
Hypnotized,Purple Disco Machine,Dance,2020,3:15
In the Dark,Purple Disco Machine,Dance,2022,3:05
Ferrari,James Hype,Dance,2022,3:06
Do It To It,ACRAZE,Dance,2021,2:38
Don't Go Yet,Camila Cabello,Pop,2021,2:44
Shivers,Ed Sheeran,Pop,2021,3:27
Bad Habits,Ed Sheeran,Pop,2021,3:51
Stay With Me,Calvin Harris,Dance,2022,3:49
Moth To A Flame,Swedish House Mafia & The Weeknd,Dance,2021,3:54
Hero,Martin Garrix & JVKE,Dance,2022,2:41
Lay Low,Tiesto,Dance,2023,2:33
Redlight,Swedish House Mafia,Dance,2022,3:02
Sacrifice,The Weeknd,Pop,2022,3:08
Less Than Zero,The Weeknd,Pop,2022,3:31
Late Night Talking,Harry Styles,Pop,2022,2:57
Music For a Sushi Restaurant,Harry Styles,Pop,2022,3:13
Greedy,Tate McRae,Pop,2023,2:11
Paint The Town Red,Doja Cat,Hip-Hop/Rap,2023,3:51
Lovin On Me,Jack Harlow,Hip-Hop/Rap,2023,2:18
Feather,Sabrina Carpenter,Pop,2023,3:05
Houdini,Dua Lipa,Pop,2023,3:05
Training Season,Dua Lipa,Pop,2024,3:29
Illusion,Dua Lipa,Pop,2024,3:08
Birds of a Feather,Billie Eilish,Pop,2024,3:18
Lunch,Billie Eilish,Pop,2024,2:59
Please Please Please,Sabrina Carpenter,Pop,2024,3:06
I Can Do It With a Broken Heart,Taylor Swift,Pop,2024,3:38
Fortnight,Taylor Swift ft. Post Malone,Pop,2024,3:48
Stick Season,Noah Kahan,Rock,2022,3:02
Too Sweet,Hozier,Rock,2024,4:11
Take Me to Church,Hozier,Rock,2013,4:01
Riptide,Vance Joy,Rock,2013,3:24
Ex's & Oh's,Elle King,Rock,2014,3:22
Shut Up and Dance,WALK THE MOON,Rock,2014,3:19
Renegades,X Ambassadors,Rock,2015,3:15
Stressed Out,Twenty One Pilots,Rock,2015,3:22
Ride,Twenty One Pilots,Rock,2015,3:34
Heathens,Twenty One Pilots,Rock,2016,3:15
High Hopes,Panic! At The Disco,Rock,2018,3:10
Natural,Imagine Dragons,Rock,2018,3:09
Believer,Imagine Dragons,Rock,2017,3:24
Thunder,Imagine Dragons,Rock,2017,3:07
Bad Liar,Imagine Dragons,Rock,2018,4:20
Supermodel,Maneskin,Rock,2022,2:28
The Loneliest,Maneskin,Rock,2022,4:07
Gossip,Maneskin ft. Tom Morello,Rock,2023,2:48
Rescued,Foo Fighters,Rock,2023,4:18
Under You,Foo Fighters,Rock,2023,3:39
Angry,The Rolling Stones,Rock,2023,3:46
Sweet Sounds of Heaven,The Rolling Stones,Rock,2023,7:22
Now and Then,The Beatles,Rock,2023,4:08
Black Summer,Red Hot Chili Peppers,Rock,2022,3:52
Tippppa My Tongue,Red Hot Chili Peppers,Rock,2022,4:20
Lux Aeterna,Metallica,Rock,2022,3:25
72 Seasons,Metallica,Rock,2023,7:39
Shadows Follow,Metallica,Rock,2023,6:12
If Darkness Had a Son,Metallica,Rock,2023,6:36
Too Good at Goodbyes,Sam Smith,Pop,2017,3:21
Attention,Charlie Puth,Pop,2017,3:31
Señorita,Shawn Mendes & Camila Cabello,Pop,2019,3:11
Havana,Camila Cabello,Pop,2017,3:37
Shallow,Lady Gaga & Bradley Cooper,Pop,2018,3:35
Someone You Loved,Lewis Capaldi,Pop,2018,3:02
Memories,Maroon 5,Pop,2019,3:09
Savage Love,Jason Derulo,Pop,2020,2:51
Mood,24kGoldn,Hip-Hop/Rap,2020,2:20
Montero (Call Me By Your Name),Lil Nas X,Hip-Hop/Rap,2021,2:17
Super Freaky Girl,Nicki Minaj,Hip-Hop/Rap,2022,2:50
FukUMEAN,Gunna,Hip-Hop/Rap,2023,2:05
Carnival,Kanye West & Ty Dolla Sign,Hip-Hop/Rap,2024,4:24
Like That,Future & Metro Boomin,Hip-Hop/Rap,2024,4:27
Million Dollar Baby,Tommy Richman,Hip-Hop/Rap,2024,2:35
Espresso (Extended),Sabrina Carpenter,Pop,2024,3:15
Taste,Sabrina Carpenter,Pop,2024,2:37
slow low,,,,
